Alias,Group,Name,Role
ACOUSTID_ID,Audio,AcoustID ID,
ALBUM,Audio,Album,
album_artist,Audio,Album artist,
ALBUMARTISTSORT,Audio,Album artist (sort),
REPLAYGAIN_ALBUM_GAIN,Audio,Album gain,
REPLAYGAIN_ALBUM_PEAK,Audio,Album peak,
ARTIST,Audio,Artist,
ARTISTS,Audio,Artist,
ARTISTSORT,Audio,Artist (sort),
TBP,Audio,Beats per minute,
composer,Audio,Composer,
TCM,Audio,Composer,
IENG,Audio,Engineer,
TKE,Audio,Initial key,
TOAL,Audio,Original album,
REPLAYGAIN_REFERENCE_LOUDNESS,Audio,Reference loudness,
TRACKTOTAL,Audio,Total tracks,
track,Audio,Track ,
MusicMatch_TrackArtist,Audio,Track artist,
REPLAYGAIN_TRACK_GAIN,Audio,Track gain,
REPLAYGAIN_TRACK_PEAK,Audio,Track peak,
mimetype,File attributes,Mime type,
ASIN,General,Amazon Standard Identification Number (ASIN),
BARCODE,General,Bar code,
UPC,General,Bar code,
CATALOGNUMBER,General,Catalog number,
grouping,General,Collection,
COMMENT,General,Comment,
COMPILATION,General,Compilation,
LAW_RATING,General,Content rating,
RATING,General,Content rating,
CONTENT_TYPE,General,Content type,
COPYRIGHT,General,Copyright,
CREDITS,General,Credits,
creation_time,General,Date created,
DATE,General,Date created,
ORIGINALDATE,General,Date created,
DATE_RELEASE,General,Date released,
DATE_RELEASED,General,Date released,
TDR,General,Date released,
DESCRIPTION,General,Description,
TDS,General,Description,
DIRECTOR,General,Director,
ENCODED_BY,General,Encoded by,
ENCODED-BY,General,Encoded by,
ENCODEDBY,General,Encoded by,
ENCODER,General,Encoder,
software,General,Encoder,
ENCODERSETTINGS,General,Encoder settings,
TSS,General,Encoder settings,
language,General,Language,
location,General,Location,
location-eng,General,Location,
MINOR_VERSION,General,Minor version,
ORGANIZATION,General,Organization,
product,General,Product,
PUBLISHER,General,Publisher,
RELEASECOUNTRY,General,Release country,
RELEASESTATUS,General,Release status,
RELEASETYPE,General,Release type,
SCRIPT,General,Script,
TSIZ,General,Size,
ISRC,General,Source,
TID,General,Source,
WOAS,General,Source URL,
Subtitle,General,Subtitle,
TIT3,General,Subtitle,
TT3,General,Subtitle,
SUMMARY,General,Summary,
SYNOPSIS,General,Synopsis,
TITLE,General,Title,
UFID,General,Unique file identifier (UFID),
UPLOADER,General,Uploader,
WRITTEN_BY,General,Written by,
TYER,General,Year,
year,General,Year,
ORIGINALYEAR,General,Year created,
ACTOR,Media,Actor,
BPS,Media,Bit rate,
BPS-eng,Media,Bit rate,
DATE_RECORDED,Media,Date recorded,
disc,Media,Disc,
DURATION,Media,Duration,
DURATION-eng,Media,Duration,
TLEN,Media,Duration,
EpisodeID,Media,Episode ID,
EpisodeNumber,Media,Episode number,
episode_sort,Media,Episode number,
GENRE,Media,Genre,
LABEL,Media,Label,
MEDIA,Media,Media format,
MUSICBRAINZ_ALBUMARTISTID,Media,MusicBrainz album artist ID,
MUSICBRAINZ_ALBUMID,Media,MusicBrainz album ID,
MUSICBRAINZ_ARTISTID,Media,MusicBrainz artist ID,
MUSICBRAINZ_RELEASEGROUPID,Media,MusicBrainz release group ID,
MUSICBRAINZ_RELEASETRACKID,Media,MusicBrainz release track ID,
MUSICBRAINZ_TRACKID,Media,MusicBrainz track ID,
NARRATEDBY,Media,Narrated by,
PRODUCER,Media,Producer,
SCREENPLAY_BY,Media,Screenplay by,
season_number,Media,Season number,
SeasonNumber,Media,Season number,
PRODUCTION_STUDIO,Media,Studio,
DISCTOTAL,Media,Total discs,
filename,,,Ignore
